property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,closest_train_station_id
13477,-37.71360016,144.7735596,8 Correa Close,DELAHEY,BULOKE,20000,1.389,16.304347826086957,1,2193,541,Brimbank,64,1491,648400,27356,20000.0
81795,-37.990015,145.24998200000005,141 Doveton Avenue,DOVETON,HINDMARSH,19888,3.532,22.110294117647058,1,3150,953,Casey,59,819,602200,9801,19888.0
75003,-37.9002485,145.0726194,30 Doris Street,MURRUMBEENA,MOIRA,19918,0.742,11.596590909090908,1,2947,2728,Glen Eira,64,1287,1574000,30031,19918.0
81853,-37.986804,145.233795,174 Kidds Road,DOVETON,HINDMARSH,19888,2.141,22.110294117647058,1,3150,953,Casey,59,819,602200,9801,19888.0
58008,-37.818465,145.140151,32 Malabar Road,BLACKBURN,GREATER GEELONG,19897,0.262,13.988304093567251,1,4821,2501,Whitehorse,75,1387,1485900,27564,19897.0
26131,-37.579675,144.921301,25 Hampton Street,CRAIGIEBURN,YARRA RANGES,40221,3.138,21.0,1,19933,1906,Hume,74,1349,643500,25491,40221.0
81751,-37.986479,145.240627,13 Lacebark Street,DOVETON,HINDMARSH,19888,2.739,22.110294117647058,1,3150,953,Casey,59,819,602200,9801,19888.0
51743,-37.80011368,145.1713104,22 Cerberus Street,DONVALE,CASEY,19899,2.302,14.655339805825243,1,4065,1346,Manningham,74,1614,1498500,10274,19899.0
61102,-37.809308,145.22575700000004,1/8 Wildwood Grove,RINGWOOD,MACEDON RANGES,19902,0.785,16.388235294117646,1,6350,4648,Maroondah,79,1393,1024000,28808,19902.0
34750,-37.73007584,145.03263859999996,35 Andrews Avenue,RESERVOIR,EAST GIPPSLAND,20011,2.636,17.166666666666668,1,16913,8713,Darebin,63,972,861800,45591,20011.0
45853,-37.72057724,145.1227875,16 Sylvan Street,MONTMORENCY,PORT PHILLIP,19986,0.598,23.86,1,3368,1434,Banyule,87,1457,1111000,8154,19986.0
36962,-37.648505,145.05218,18B Wotan Drive,EPPING,FRANKSTON,45795,1.311,26.786666666666665,1,13368,3047,Whittlesea,73,1283,673200,19624,45795.0
37577,-37.650279,145.04395300000004,6 Avon Place,EPPING,FRANKSTON,20005,1.241,24.90277777777778,1,13368,3047,Whittlesea,73,1283,673200,19624,20005.0
50488,-37.7572717,145.1303038,14/22-36 Anderson Street,TEMPLESTOWE,MOUNT ALEXANDER,19986,4.736,23.86,1,5734,1487,Manningham,64,1789,1759800,16180,19986.0
47620,-37.724156,145.15835800000005,9 Hill Mews,ELTHAM,FRANKSTON,19987,1.502,26.24418604651163,1,6040,1782,Nillumbik,85,1923,1178700,28827,19987.0
12538,-37.716975,144.767001,2 Anakie Walk,DELAHEY,BULOKE,20000,1.874,16.304347826086957,1,2193,541,Brimbank,64,1491,648400,27356,20000.0
92907,-38.003998,145.098554,2 Gala Supreme Close,MORDIALLOC,PORT PHILLIP,19863,0.998,23.207142857142856,1,2949,2322,Kingston,76,1492,1228700,24045,19863.0
81865,-37.98982,145.241349,18 Ti Tree Drive,DOVETON,HINDMARSH,19888,2.774,22.110294117647058,1,3150,953,Casey,59,819,602200,9801,19888.0
29330,-37.766295,144.990576,122 Bent Street,NORTHCOTE,MURRINDINDI,20016,0.574,13.188811188811188,1,8461,5349,Darebin,69,1563,1630800,21000,20016.0
92022,-37.980746,145.05808000000005,151 Balcombe Road,MENTONE,WEST WIMMERA,19865,0.634,20.61904761904762,1,4507,3922,Kingston,76,1288,1332300,14158,19865.0
19571,-37.677886,144.896673,12 Shadforth Street,WESTMEADOWS,LODDON,20030,2.101,15.533333333333333,1,2446,596,Hume,74,1388,684900,8623,20030.0
47038,-37.706475,145.155472,30 Helene Street,ELTHAM,FRANKSTON,19987,1.036,26.24418604651163,1,6040,1782,Nillumbik,85,1923,1178700,28827,19987.0
58470,-37.812185,145.173826,10 Closter Avenue,NUNAWADING,STONNINGTON,19899,0.942,14.655339805825243,1,4033,2270,Whitehorse,70,1202,1171100,20796,19899.0
60786,-37.844299,145.19046200000005,5 Bayliss Place,VERMONT,CENTRAL GOLDFIELDS,19900,2.929,15.882096069868995,1,3636,1030,Whitehorse,71,1459,1186300,20802,19900.0
76980,-37.928264,145.129851,71 Kionga St,CLAYTON,HINDMARSH,19915,0.91,14.25108225108225,1,5171,5343,Monash,48,962,1017200,18901,19915.0
85802,-37.875156,144.992854,7 Maryville Street,RIPPONLEA,WANGARATTA,19955,0.225,,0,363,695,Port Phillip,69,1497,1641600,10824,19955.0
40103,-37.70772,145.07275900000005,229 Greenwood Drive,BUNDOORA,WODONGA,19984,1.036,19.841726618705035,1,8943,3243,Whittlesea,69,1172,876900,24119,19984.0
63314,-37.799461,145.26818400000005,1/71 Mt Dandenong Road,CROYDON,CARDINIA,19878,1.18,20.65573770491803,1,9705,5573,Maroondah,81,1267,902900,37491,19878.0
54742,-37.816318,145.035799,82 Hawthorn Grove,HAWTHORN,YARRA,19904,0.576,6.0,1,5753,11459,Boroondara,72,1627,2103800,19166,19904.0
51999,-37.80171967,145.1696014,8 Darvall Street,DONVALE,CASEY,19899,2.153,14.655339805825243,1,4065,1346,Manningham,74,1614,1498500,10274,19899.0
90896,-37.970605,145.036559,6 Weatherall Road,CHELTENHAM,YARRA RANGES,19866,1.64,18.83823529411765,1,8087,5856,Kingston,74,1233,1167300,18907,19866.0
63784,-37.788346,145.303922,1A Caromar Street,CROYDON,CARDINIA,19877,0.847,22.9618320610687,1,9705,5573,Maroondah,81,1267,902900,37491,19877.0
40884,-37.716941,145.034253,58 Scott Grove,KINGSBURY,ALPINE,20009,2.4,19.1,1,1234,479,Darebin,69,1172,813800,24119,20009.0
61799,-37.819755,145.233799,32 Caroline Street,RINGWOOD,MACEDON RANGES,19902,0.605,16.388235294117646,1,6350,4648,Maroondah,79,1393,1024000,28808,19902.0
79177,-37.957364,145.155584,5/37 Hillcrest Grove,SPRINGVALE,GREATER BENDIGO,19891,0.643,17.657587548638134,1,6280,4315,Greater Dandenong,36,884,895800,18147,19891.0
77896,-37.92682266,145.18487549999998,3 St Jakob Court,MULGRAVE,MACEDON RANGES,19913,3.74,17.03585657370518,1,7213,1477,Monash,60,1348,1022600,22093,19913.0
89158,-37.954829,145.007174,12 Cowper Street,SANDRINGHAM,PYRENEES,19948,0.551,,0,3340,2563,Bayside,79,1836,1785000,8146,19948.0
20568,-37.757436,144.975663,15 Sturrock St,BRUNSWICK,MARIBYRNONG,19966,1.262,10.0,1,8835,8041,Moreland,62,1433,1265800,20155,19966.0
13003,-37.70971,144.776829,33 Tudor Rose Crescent,SYDENHAM,HEPBURN,20000,0.983,16.304347826086957,1,2811,1400,Brimbank,64,1491,658000,27356,20000.0
32448,-37.737961,145.005382,260A Murray Road,PRESTON,BOROONDARA,20012,0.435,16.176470588235293,1,11418,7672,Darebin,63,1155,1075700,27067,20012.0
33789,-37.728093,144.989995,13 York Street,RESERVOIR,EAST GIPPSLAND,20011,1.126,17.166666666666668,1,16913,8713,Darebin,63,972,861800,45591,20011.0
60702,-37.84375763,145.1880188,34 Timbertop Drive,VERMONT,CENTRAL GOLDFIELDS,19899,2.824,14.655339805825243,1,3636,1030,Whitehorse,71,1459,1186300,20802,19899.0
